policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,variant,normalized_value
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,55.190312686570685,1.1445659766542424,75.53968085804092,0,0,155.0,0.0,105.0,0.0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.014673076713314423,,,,,8,24,main,1.0
MILP-Ref,3304.474613536755,,260,,147675122448.8456,,,,,0,0,,,,,,,,,,,,,,,,,8,24,main,0.8609915963961997
All-Downlink,2555.748586379738,0.0,256,0.0,145047080871.27374,138274748222.04004,0.0,37.4960716972247,80.08159020947357,0,0,0.0,0.0,260.0,0.0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0014042304918313255,,,,,9,24,main,0.6355344334468682
All-On-Board,2638.3301762790907,149873.5611089066,158,948.5668424614342,145047080871.27374,0.0,100.0,1.1894509169151812,1147.0703465055208,0,102,158.0,0.0,0.0,102.0,60.76923076923077,0.0,0.0,39.23076923076923,126.43889109329524,126.43889109329524,0.0,0.0003907701913983776,,,,,9,24,main,0.6560698821328325
Fixed-Threshold,3417.104630458127,102460.60073781348,259,395.60077504947293,145047080871.27374,44879980875.95698,67.54289452482733,1.2723023214840092,75.09492307096168,0,0,116.0,86.0,58.0,0.0,44.61538461538461,33.07692307692308,22.307692307692307,0.0,47539.39926218667,47539.39926218667,0.0,0.0012276903502284908,,,,,9,24,main,0.8497266385748485
Deadline-Energy,3987.9015633096137,64223.37783562667,260,247.0129916754872,145047080871.27374,102072848551.6437,26.18113584431463,10.752650312716167,66.8191582745461,0,0,72.0,0.0,188.0,0.0,27.692307692307693,0.0,72.3076923076923,0.0,85776.62216437332,85776.62216437332,0.0,0.011697691717507461,,,,,9,24,main,0.9916659151008066
Priority-Aware,3933.4652272263816,80627.39004437336,260,310.10534632451294,145047080871.27374,88415641780.66504,36.0579983565125,11.438537449130916,76.80100423138477,0,0,88.0,6.0,166.0,0.0,33.84615384615385,2.3076923076923075,63.84615384615385,0.0,69372.60995562666,69372.60995562666,0.0,0.0015388455582209504,,,,,9,24,main,0.9781293073937917
Energy-WSRPT,3445.5022080778594,149772.53937029318,256,585.0489819152077,145047080871.27374,39449361301.11854,71.47030690103215,0.9832486245364028,79.09861167966864,0,0,157.0,29.0,74.0,0.0,60.38461538461539,11.153846153846153,28.46153846153846,0.0,227.46062970671636,227.46062970671636,0.0,0.013493845807925727,,,,,9,24,main,0.8567882245618275
Heuristic-TVD,4021.416388909796,149539.87916986653,257,581.8672341239943,145047080871.27374,40555041023.97266,70.67068170766088,0.9832486245364028,70.43976702267629,0,0,172.0,1.0,87.0,0.0,66.15384615384616,0.38461538461538464,33.46153846153846,0.0,460.12083013330334,460.12083013330334,0.0,0.015054615169691924,,,,,9,24,main,1.0
MILP-Ref,3186.0681781767817,,260,,145047080871.27374,,,,,0,0,,,,,,,,,,,,,,,,,9,24,main,0.7922751264860994
