policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,profile_label,profile_source,memory_gb,quant_used,normalized_value
Energy-WSRPT,4228.308837253322,107359.849503184,260,412.9224980891692,143751290598.0329,1685459198.1959853,98.82751717136998,0.520203428689941,1.1176302745584812,0,0,245,14,1,0,94.23076923076923,5.384615384615385,0.38461538461538464,0.0,42640.15049681586,42640.15049681586,0.0,0.01223423023475334,,,,,4,Edge-NPU synthetic,scaled,12,INT4,0.9617177255367722
Heuristic-TVD,4396.621508554746,113016.376824048,260,434.6783724001846,143751290598.0329,0.0,100.0,0.5286415291022422,1.1176302745584812,0,0,260,0,0,0,100.0,0.0,0.0,0.0,36983.6231759519,36983.6231759519,0.0,0.014766152777995627,,,,,4,Edge-NPU synthetic,scaled,12,INT4,1.0
Deadline-Energy,3747.7409160449365,25086.048970928,260,96.48480373433847,145966253614.7567,115042162606.88376,21.185781125471483,16.026909080403055,71.36271956499577,0,0,59,1,200,0,22.692307692307693,0.38461538461538464,76.92307692307693,0.0,124913.95102907199,124913.95102907199,0.0,0.009636154796820708,,,,,5,Edge-NPU synthetic,scaled,12,INT4,0.8734578594970278
Priority-Aware,3738.31207541624,36892.753956191984,260,141.89520752381532,145966253614.7567,97435093163.56842,33.24820583480533,16.058096002124003,74.03864247899895,0,0,85,9,166,0,32.69230769230769,3.4615384615384617,63.84615384615384,0.0,113107.24604380802,113107.24604380802,0.0,0.001384229779852411,,,,,5,Edge-NPU synthetic,scaled,12,INT4,0.8712603503474969
Energy-WSRPT,4047.3220150322018,101100.85874577599,260,388.849456714523,145966253614.7567,3591803348.15753,97.53929195330502,0.520203428689941,1.0577572241356392,0,0,237,21,2,0,91.15384615384615,8.076923076923077,0.7692307692307693,0.0,48899.14125422393,48899.14125422393,0.0,0.012501922006217333,,,,,5,Edge-NPU synthetic,scaled,12,INT4,0.9432789787603442
Heuristic-TVD,4290.694594245264,112497.40417756798,260,432.68232375987685,145966253614.7567,0.0,100.0,0.5370796295145132,1.0577572241357605,0,0,260,0,0,0,100.0,0.0,0.0,0.0,37502.59582243196,37502.59582243196,0.0,0.013761924212583555,,,,,5,Edge-NPU synthetic,scaled,12,INT4,1.0
Deadline-Energy,3784.231266764121,26840.29442062399,260,103.23190161778459,136511684238.74997,94917012113.92496,30.46967910239732,14.60893868356937,73.92129724806482,0,0,66,1,193,0,25.384615384615383,0.38461538461538464,74.23076923076923,0.0,123159.70557937601,123159.70557937601,0.0,0.01025307719828561,,,,,6,Edge-NPU synthetic,scaled,12,INT4,0.8705145009514467
Priority-Aware,3621.7979585090247,33003.30355465599,260,126.93578290252304,136511684238.74997,79932607445.38664,41.446325352202265,21.359685439153196,77.95723821033201,0,0,77,17,166,0,29.615384615384617,6.538461538461539,63.84615384615384,0.0,116996.69644534409,116996.69644534409,0.0,0.0015961537988354953,,,,,6,Edge-NPU synthetic,scaled,12,INT4,0.8331487745183239
Energy-WSRPT,4104.074962947108,101994.83155798397,260,392.2878136845537,136511684238.74997,4805621101.369085,96.4796997940745,0.529274767612757,1.0577572241357605,0,0,232,25,3,0,89.23076923076924,9.615384615384617,1.153846153846154,0.0,48005.16844201591,48005.16844201591,0.0,0.01372922930526189,,,,,6,Edge-NPU synthetic,scaled,12,INT4,0.9440904945780948
Heuristic-TVD,4347.12030945845,115076.24091772799,260,442.6009266066461,136511684238.74997,0.0,100.0,0.5740175764854939,1.0605066842443123,0,0,260,0,0,0,100.0,0.0,0.0,0.0,34923.759082271914,34923.759082271914,0.0,0.013080384815111756,,,,,6,Edge-NPU synthetic,scaled,12,INT4,1.0
